808,295,941,790,760,20,261,247,34,283,0.609398295479088,0.714532414842187
941,785,440,355,371,392,547,370,965,106,0.623671361799624,0.699791113941008
290,995,942,941,564,882,804,344,407,364,0.573133578140802,0.732028706405779
942,941,943,497,369,473,849,782,320,934,0.59923748336852,0.780236861617098
943,942,944,628,142,941,477,878,364,978,0.566036828063163,0.823620570584193
944,943,945,942,941,64,154,652,138,738,0.564911169014098,0.835865537382491
820,944,946,865,942,718,429,941,382,385,0.604245153006052,0.748698990370085
47,945,229,874,823,942,941,729,957,219,0.602793046367154,0.756038006027817
857,552,947,943,432,233,243,942,228,941,0.601606436351474,0.792143904323929
788,849,948,841,943,818,281,799,941,743,0.58742367730622,0.710004417824067
873,946,949,944,158,235,942,943,547,727,0.581068237233579,0.768509550428407
945,638,950,732,944,433,931,426,942,562,0.580543952962618,0.705788476232639
383,947,491,945,408,943,550,366,770,942,0.597272292565915,0.792143904323929
707,318,611,946,800,944,943,499,395,68,0.601859061907373,0.802457804646116
946,121,492,42,945,210,944,166,943,917,0.585098714431257,0.748167337297495
418,453,493,947,946,356,945,253,944,943,0.546382282815221,0.740786646509916
947,830,760,748,646,945,946,944,141,452,0.586586726135336,0.68767591330979
948,560,561,59,887,344,761,304,945,827,0.555296085021179,0.774259720669988
949,948,831,637,947,946,181,38,408,766,0.629554421229891,0.754953012874762
886,949,441,948,24,947,877,361,946,944,0.637535481384741,0.778507630543526
561,950,158,611,948,37,681,945,947,868,0.569322220570053,0.752719094661401
950,949,299,342,702,948,947,34,371,945,0.614097573525661,0.700919088490212
795,900,166,949,249,300,948,946,806,448,0.601692355793126,0.793811930410752
759,491,548,950,949,510,798,947,948,662,0.602722247023186,0.781566963612455
355,492,406,665,450,98,949,701,772,946,0.633127036646575,0.772649164472675
491,493,442,277,950,949,986,948,206,947,0.603396168909371,0.835865537382491
407,493,494,948,944,949,950,420,193,947,0.595931834500748,0.799130636987598
491,877,312,773,729,192,314,614,949,948,0.665520515589677,0.746714053910102
491,687,616,238,764,560,986,948,950,949,0.571780957786887,0.778507630543526
123,328,495,644,950,82,491,949,946,184,0.568206247901497,0.816633837920525
492,494,46,491,809,950,910,414,949,765,0.597693859700641,0.795397451504004
686,495,496,274,548,947,215,950,491,213,0.614098672931685,0.736454023571787
493,496,179,492,491,949,859,964,463,667,0.62619646345948,0.695381701692893
494,497,515,947,142,744,492,487,149,233,0.573503612358645,0.77796787104952
495,498,1,493,492,282,15,26,831,401,0.56650832075912,0.780527939624412
163,499,497,494,493,491,322,412,492,950,0.620466016462158,0.802457804646116
496,499,497,494,493,491,533,970,411,950,0.637794607098603,0.790212837847818
496,499,905,494,384,557,455,491,492,950,0.646222935907518,0.725868198345185
788,307,945,502,305,805,893,492,493,944,0.529603306965608,0.733446432255672
826,500,798,495,693,491,328,493,494,947,0.585556974052888,0.811375603785895
497,73,507,27,493,492,226,494,495,948,0.57993409813183,0.728232741957547
958,933,275,496,732,525,493,479,685,856,0.619846312692104,0.801531758527775
498,493,497,496,272,521,391,495,358,542,0.641968951874933,0.811375603785895
498,493,497,496,873,587,654,495,37,626,0.617513760215331,0.700371314591413
499,943,498,601,31,493,616,496,292,491,0.615425365291121,0.724970434354973
500,873,401,498,494,136,493,497,496,492,0.589631315691544,0.738700910254966
944,891,392,499,495,558,853,453,162,493,0.610835395564062,0.75309695473191
