15853,1,0,1,0,1,1
15854,1,1,1,0,0,1
15855,0,0,0,0,0,1
15856,0,1,1,0,0,1
15857,0,1,0,0,0,0
15858,0,1,1,0,0,1
15859,1,1,1,0,0,0
15860,1,1,1,0,0,1
15861,0,0,1,0,0,1
15862,1,0,0,0,0,0
15863,0,1,0,0,0,1
15864,1,0,0,1,0,1
15865,1,1,1,1,0,1
15866,1,0,1,0,0,0
15867,1,1,1,0,0,0
15868,1,0,0,0,0,1
15873,1,0,1,0,0,1
15874,0,1,0,0,0,0
15875,1,1,1,0,0,0
15876,0,1,0,1,0,1
15877,1,0,0,0,0,0
15878,0,0,1,0,0,0
15879,0,1,0,0,0,0
15880,0,0,0,0,0,0
15882,0,0,1,0,0,0
15883,1,1,0,0,0,0
15887,0,0,0,0,0,0
15888,1,1,0,0,0,0
15889,0,0,1,0,0,0
15890,1,0,1,0,0,0
15891,0,0,1,0,0,0
15892,0,0,0,0,0,1
15893,0,1,0,0,0,1
15894,0,1,0,0,0,0
15895,1,0,1,0,0,0
15896,0,1,0,0,0,0
15897,0,1,0,0,0,0
15898,1,0,0,0,1,0
15899,0,0,0,0,0,0
15901,0,1,0,0,0,0
15902,0,0,1,0,0,0
15903,0,1,1,0,0,1
15904,1,0,0,1,0,0
15905,0,1,0,0,0,0
15906,0,0,1,1,0,0
15907,0,1,1,0,0,1
15908,0,1,0,0,0,0
15909,0,1,1,0,0,0
15916,1,1,1,0,0,0
15917,1,1,1,0,0,0
15918,0,0,1,1,1,0
15919,1,1,0,0,0,0
15920,1,1,1,0,0,0
15921,1,1,1,0,0,0
15922,0,1,1,0,0,0
15923,0,0,1,1,0,0
15924,0,0,1,0,0,0
15925,1,0,0,0,0,0
15926,1,0,0,0,0,0
15927,0,1,0,0,0,0
15928,1,1,0,0,0,0
15929,1,0,0,0,0,0
15930,1,1,1,0,0,0
15931,1,0,0,0,0,1
15932,1,1,0,0,0,0
15933,1,0,0,0,0,0
15934,0,0,1,0,0,1
15935,0,0,0,0,0,1
15936,0,0,0,1,0,1
15937,0,1,0,0,0,1
15938,0,1,0,0,0,1
15939,0,1,0,0,0,0
15940,0,1,0,0,0,1
15941,1,0,1,0,0,1
15942,1,0,0,1,0,1
15943,0,0,0,0,1,1
15944,1,0,1,0,0,1
15945,1,0,1,0,1,1
15946,1,1,1,0,0,1
15947,0,0,1,0,0,0
15948,0,0,1,0,0,0
15949,1,1,1,0,0,0
15950,0,0,1,1,1,1
15951,0,0,1,0,0,1
15952,0,0,1,0,1,1
15953,0,0,0,0,1,1
15954,0,1,1,0,0,1
15955,1,0,0,0,1,0
15957,0,1,0,0,0,1
15958,0,1,0,0,0,0
15959,1,0,1,0,0,0
15960,0,1,0,0,0,0
15961,0,0,0,0,0,0
15962,0,1,0,0,0,0
15963,0,0,1,0,0,0
15964,0,0,1,0,0,0
15965,1,0,1,0,0,0
15966,0,0,0,0,0,0
15967,0,0,1,0,0,1
15968,0,1,0,0,0,0
15969,1,0,0,1,1,0
15970,0,0,0,0,1,0
15971,0,1,1,0,0,0
15972,1,0,0,0,0,0
15973,0,1,0,0,0,1
15974,0,0,1,1,0,0
15978,0,1,0,0,0,1
15979,0,0,0,0,0,1
15980,1,1,1,0,0,1
15981,0,1,0,0,0,0
15982,0,0,1,1,1,1
15983,1,0,0,1,0,0
15984,1,0,0,0,0,0
15985,1,0,0,0,0,0
15986,0,0,1,0,0,0
15987,0,1,1,0,0,0
15988,1,1,1,0,0,0
15989,1,1,1,0,0,0
15990,0,0,1,0,0,0
15991,0,0,0,0,0,0
15992,1,1,1,1,0,1
15993,0,0,1,0,0,1
15994,0,1,1,0,0,1
15995,0,0,1,0,0,0
15996,0,1,0,1,0,1
15999,0,0,0,1,0,1
16000,0,1,0,0,0,1
16001,0,0,0,0,0,0
16002,1,0,0,1,0,1
16003,0,0,1,1,0,1
16005,0,0,1,0,0,0
16006,0,0,0,0,0,0
16007,1,0,1,0,0,1
16008,0,0,0,0,0,1
16009,0,1,1,0,0,0
16010,0,0,1,0,0,0
16011,0,1,0,0,0,0
16012,0,0,1,0,0,1
16013,1,0,1,1,0,1
16014,0,1,0,0,0,1
16015,0,1,0,0,0,1
16016,0,0,1,0,0,1
16017,1,0,0,1,1,0
16021,1,1,0,1,0,1
16022,1,0,0,0,0,1
16023,0,0,1,0,1,1
16024,1,0,0,0,0,0
16025,0,0,0,0,0,0
16026,0,0,1,0,0,0
16027,1,0,0,0,0,0
16028,0,0,0,0,0,1
16029,1,0,0,1,0,1
16030,0,0,1,0,0,1
16031,1,0,0,1,0,0
16032,1,0,0,1,0,0
16033,0,0,1,1,0,0
16034,0,0,1,1,0,0
16035,0,0,0,1,0,1
16036,0,1,1,1,0,1
16037,1,0,0,1,0,1
16038,1,0,1,1,0,0
16039,1,1,1,1,0,1
16040,1,0,0,0,0,0
16041,1,0,1,1,0,1
16042,0,0,0,1,0,0
16043,0,0,0,1,0,1
16044,0,1,1,0,0,1
16045,1,0,1,1,0,1
16046,1,0,0,0,0,1
16047,0,0,0,0,0,1
16048,1,0,0,1,0,1
16049,1,0,1,0,0,0
16050,0,0,0,1,0,1
16051,1,0,1,0,0,0
16052,0,0,0,0,0,0
16053,0,0,0,0,0,0
16080,0,0,1,0,0,0
16082,0,1,0,1,0,1
16083,1,0,0,1,0,0
16084,0,0,0,1,1,1
16085,0,0,0,0,0,0
16086,0,0,1,0,1,1
16087,0,0,1,1,0,1
16088,1,0,0,0,0,1
16089,0,1,1,1,0,1
16090,1,0,0,1,1,1
16091,0,1,0,1,1,0
16092,0,0,0,1,1,1
16093,0,1,0,1,0,1
16096,0,0,1,0,0,0
16097,1,1,1,1,0,1
16098,0,0,0,1,1,1
16099,1,1,1,0,1,1
