timestamps	entropy	aspect
15649	2.63905519123112	contemporaneity
15882	1.79175279862127	contemporaneity
15883	2.30258374095144	contemporaneity
15849	1.79175784291589	contemporaneity
15812	2.94443876630803	contemporaneity
15778	2.39789527279837	contemporaneity
15915	2.89037069348961	contemporaneity
15889	2.07944136475573	contemporaneity
15848	2.89036951284697	contemporaneity
15861	1.60943721723323	contemporaneity
15916	2.63905575991097	contemporaneity
15665	2.30258509299405	contemporaneity
15489	1.94591014905531	contemporaneity
15884	1.38629343340454	contemporaneity
15607	1.38629327406171	contemporaneity
15510	3.13549421592915	contemporaneity
15790	3.33220448493935	contemporaneity
15819	2.89037175789616	contemporaneity
15897	2.30258509299405	contemporaneity
15568	0.693146176547241	contemporaneity
15595	2.30258257787317	contemporaneity
15877	2.94443743953505	contemporaneity
15741	1.609411147678	contemporaneity
15615	3.33220353509186	contemporaneity
15460	2.19722457733622	contemporaneity
15728	0.693147180559945	contemporaneity
15740	2.07944154167984	contemporaneity
15586	0	contemporaneity
15645	2.19722457733622	contemporaneity
15868	0.693147180559945	contemporaneity
15530	2.99573227355399	contemporaneity
15449	1.79175946922806	contemporaneity
15799	2.48490446557354	contemporaneity
15795	1.09861228866811	contemporaneity
15797	1.38629436111989	contemporaneity
15618	1.79175946922806	contemporaneity
15610	3.43397847585523	contemporaneity
15814	3.40119732447782	contemporaneity
15499	3.13549319892437	contemporaneity
15881	2.70805000757404	contemporaneity
15813	3.29583544180942	contemporaneity
15538	3.21886318980961	contemporaneity
15694	2.94443709881707	contemporaneity
15779	3.80665739087929	contemporaneity
15532	0.693146978949014	contemporaneity
15545	2.079433931471	contemporaneity
15560	2.7725861761035	contemporaneity
15803	3.04452231430113	contemporaneity
15854	2.56494935746154	contemporaneity
15512	2.19722457733622	contemporaneity
15456	2.1972219599869	contemporaneity
15552	2.99573015136353	contemporaneity
15475	2.07942218397812	contemporaneity
15831	0.693144187646284	contemporaneity
15749	3.6375859247508	contemporaneity
15758	2.30258461259898	contemporaneity
15559	2.94443712044752	contemporaneity
15533	2.94443897916644	contemporaneity
15762	2.63905457605976	contemporaneity
15734	2.30258498758803	contemporaneity
15761	2.30258509299405	contemporaneity
15737	3.1780537874624	contemporaneity
15894	3.25809587509621	contemporaneity
15833	0	contemporaneity
15468	2.70804218334558	contemporaneity
15832	2.30258509299405	contemporaneity
15588	2.83321334405622	contemporaneity
15482	2.89036922676817	contemporaneity
15540	2.39789320265342	contemporaneity
15775	3.33220396817809	contemporaneity
15838	2.07944154167984	contemporaneity
15544	1.79175946922806	contemporaneity
15555	2.56494935746154	contemporaneity
15866	2.94443897916644	contemporaneity
15863	1.79175946922806	contemporaneity
15453	2.99573225778236	contemporaneity
15755	1.60943781369911	contemporaneity
15574	1.6094379124341	contemporaneity
15455	2.77258540940595	contemporaneity
15488	1.6094379124341	contemporaneity
14351	1.79175946922806	contemporaneity
15776	2.83321311784905	contemporaneity
15912	1.09861228866811	contemporaneity
15566	2.77258872223978	contemporaneity
15583	2.56493958342285	contemporaneity
15807	0.693147180559945	contemporaneity
15806	3.58351349682212	contemporaneity
15630	2.48490659210408	contemporaneity
14322	1.79175946922806	contemporaneity
15454	0.693146601532166	contemporaneity
15628	1.79175939381681	contemporaneity
15777	2.07944154167984	contemporaneity
15443	2.94443897916644	contemporaneity
15853	2.39789527279837	contemporaneity
15906	3.46573542089765	contemporaneity
15727	3.49650700642082	contemporaneity
15791	3.25809653802148	contemporaneity
15914	3.76119510707052	contemporaneity
15756	1.38629436111989	contemporaneity
15729	2.77258872223978	contemporaneity
15722	1.6094379124341	contemporaneity
15537	1.94591014905531	contemporaneity
15860	2.484906649788	contemporaneity
15720	1.6094379124341	contemporaneity
15590	3.21887315708148	contemporaneity
15896	3.4657358856069	contemporaneity
15827	0	contemporaneity
15828	2.89037175466614	contemporaneity
15824	3.61091776244568	contemporaneity
15636	3.6109178189223	contemporaneity
15589	3.21887541121616	contemporaneity
15748	1.94591014905531	contemporaneity
15517	2.63905613678903	contemporaneity
15516	2.70804742846525	contemporaneity
15910	3.13548953593894	contemporaneity
15554	3.29583422995671	contemporaneity
15835	1.79175945555347	contemporaneity
15526	0.693146405273757	contemporaneity
15887	2.19722319367889	contemporaneity
15593	1.38629436111989	contemporaneity
15923	2.30258276331606	contemporaneity
15927	2.39789327860658	contemporaneity
15673	3.52634656597648	contemporaneity
15664	0.693147180559945	contemporaneity
15462	2.39789527279837	contemporaneity
15573	3.61091549760483	contemporaneity
15757	2.39789410407865	contemporaneity
15551	1.60943689684824	contemporaneity
15565	3.13549186909826	contemporaneity
15744	1.0985334183506	contemporaneity
15918	1.79175946922806	contemporaneity
15670	3.36729542063591	contemporaneity
15917	2.484906649788	contemporaneity
15470	2.99573227355399	contemporaneity
15904	3.71356951152499	contemporaneity
15638	3.36728177827863	contemporaneity
15642	3.33220134589109	contemporaneity
15643	1.38629279234945	contemporaneity
15859	2.70805020110221	contemporaneity
15539	2.484906649788	contemporaneity
15843	1.79175946922806	contemporaneity
15754	2.89036867593743	contemporaneity
15825	1.3862914324788	contemporaneity
15656	2.30253920181184	contemporaneity
15659	3.73766225528971	contemporaneity
15839	2.63905530002884	contemporaneity
15497	1.79175946922806	contemporaneity
15513	2.39789527279837	contemporaneity
15905	2.19722457733622	contemporaneity
15657	0.693146326870274	contemporaneity
15650	2.94443884287626	contemporaneity
15603	2.19722260599734	contemporaneity
15644	3.25809653802148	contemporaneity
15575	1.94591014905531	contemporaneity
15614	2.19722457733622	contemporaneity
15646	0.693147180559945	contemporaneity
15880	2.94443887591854	contemporaneity
15730	2.19722457733622	contemporaneity
15617	4.15886321610702	contemporaneity
15764	3.73764349724193	contemporaneity
15616	3.49650703800561	contemporaneity
15747	2.39789527279837	contemporaneity
15594	2.70804852899306	contemporaneity
15763	1.6094379124341	contemporaneity
15666	2.6390551548174	contemporaneity
15527	3.36729332208059	contemporaneity
15911	2.484906649788	contemporaneity
15505	1.6094379124341	contemporaneity
15481	2.19722457733622	contemporaneity
15561	3.55534797440498	contemporaneity
15511	2.07944154167984	contemporaneity
15567	0	contemporaneity
15922	3.43398191851604	contemporaneity
15921	2.079439569053	contemporaneity
15631	1.09861228866811	contemporaneity
15597	2.70804921102632	contemporaneity
15743	1.09860981362276	contemporaneity
15601	2.77258872223978	contemporaneity
15742	2.484906649788	contemporaneity
15895	2.484906649788	contemporaneity
15632	3.73766878974257	contemporaneity
14357	3.17805352091444	contemporaneity
14323	3.33219621296841	contemporaneity
15852	3.46573385948672	contemporaneity
15723	3.13549219117833	contemporaneity
15793	3.85014236464549	contemporaneity
15920	2.39789527279837	contemporaneity
15792	3.29583686600433	contemporaneity
15800	3.04451851243246	contemporaneity
15491	3.73766278519802	contemporaneity
15735	2.30258509299405	contemporaneity
15890	2.397891803829	contemporaneity
15842	2.56494935746154	contemporaneity
15751	3.33220429456039	contemporaneity
15898	2.39789527279837	contemporaneity
15821	2.63898363720715	contemporaneity
15509	2.30258378940877	contemporaneity
15608	3.0445174694069	contemporaneity
15784	2.63905636991516	contemporaneity
15783	2.48490463041835	contemporaneity
15862	2.39786268438545	contemporaneity
15623	3.04452238981526	contemporaneity
15785	3.91202281080305	contemporaneity
15772	2.56494935746154	contemporaneity
15558	2.63905719495145	contemporaneity
15789	2.484906649788	contemporaneity
15671	2.56494642026888	contemporaneity
15908	0	contemporaneity
15548	3.52636032574998	contemporaneity
15546	3.13545715885307	contemporaneity
15811	3.36729582998647	contemporaneity
15502	1.94591008843616	contemporaneity
15919	1.6094379124341	contemporaneity
15611	1.09861180596425	contemporaneity
15875	2.484906649788	contemporaneity
15471	1.94590686042558	contemporaneity
15457	2.19722435412291	contemporaneity
15869	3.61091630795104	contemporaneity
15810	3.218875765766	contemporaneity
15447	4.02534828572871	contemporaneity
15846	3.3322037899537	contemporaneity
15888	3.76119995268575	contemporaneity
15562	2.39789451572255	contemporaneity
15496	1.09861228866811	contemporaneity
15469	3.3322045101752	contemporaneity
15768	2.94442814721427	contemporaneity
15855	0	contemporaneity
15660	1.09861194420693	contemporaneity
15667	0	contemporaneity
14322	1.37741479906451	locality
14323	1.64041132557148	locality
14351	1.41309716226415	locality
14357	1.76305451788093	locality
15443	2.16722314920456	locality
15447	2.39789527279837	locality
15449	2.82588765857126	locality
15453	1.95463993840987	locality
15454	2.80034205732349	locality
15455	0.315869619710061	locality
15456	1.34340534209004	locality
15457	2.30258509299405	locality
15460	1.94591014905531	locality
15462	0.314623970461966	locality
15468	1.38629436111989	locality
15469	3.13549421592915	locality
15470	3.33145045571711	locality
15471	2.89037175789616	locality
15475	2.30258509299405	locality
15481	0.691797272983109	locality
15482	0.82187567939078	locality
15488	2.94443897916644	locality
15489	1.46259115954557	locality
15491	3.22946380365636	locality
15496	2.19722457733622	locality
15497	0.693147180559945	locality
15499	2.07944154167984	locality
15502	0	locality
15505	2.19722457733622	locality
15509	0.693147180559945	locality
15510	2.99573227355399	locality
15511	1.79175946922806	locality
15512	0.916400630534934	locality
15513	1.09861228866811	locality
15516	1.38629436111989	locality
15517	1.79175946922806	locality
15526	2.18322899061349	locality
15527	3.40119738166216	locality
15530	3.13549225373231	locality
15532	2.70805020110221	locality
15533	3.29583686600433	locality
15537	2.98677889448922	locality
15538	1.72103841234865	locality
15539	3.8058244524165	locality
15540	0.693144632774099	locality
15544	0.572067355246678	locality
15545	1.51779400268331	locality
15546	2.66790070506064	locality
15548	2.56494935746154	locality
15551	2.19722457733622	locality
15552	0.740929368891606	locality
15554	2.88564110345031	locality
15555	0.310082719183584	locality
15558	0.693147180559945	locality
15559	3.63758615972639	locality
15560	2.18995021193517	locality
15561	2.94443897916644	locality
15562	2.94443897916644	locality
15565	1.56835751736296	locality
15566	2.19035129330037	locality
15567	2.30258509299405	locality
15568	3.17805383034795	locality
15573	2.12649672374265	locality
15574	0	locality
15575	2.70696822498499	locality
15583	2.30258509299405	locality
15586	2.83321334405622	locality
15588	1.82326799604813	locality
15589	0.846713833641211	locality
15590	3.31717915058492	locality
15593	2.07944154167984	locality
15594	1.79175946922806	locality
15595	2.56494935746154	locality
15597	2.94443897916644	locality
15601	1.79175946922806	locality
15603	2.99573071532166	locality
15607	1.43072252681971	locality
15608	1.6094379124341	locality
15610	2.77258633548666	locality
15611	1.6094379124341	locality
15614	1.79175946922806	locality
15615	2.83321277833892	locality
15616	1.09861228866811	locality
15617	2.77258872223978	locality
15618	2.56494682416485	locality
15623	0.693147180559945	locality
15628	3.21981865548025	locality
15630	2.41823661123708	locality
15631	1.79175946922806	locality
15632	0.6765259604935	locality
15636	1.79120844501991	locality
15638	2.07944154167984	locality
15642	2.94443897916644	locality
15643	2.39789527279837	locality
15644	3.37334711959867	locality
15645	3.36321643421059	locality
15646	3.25809653802148	locality
15649	3.74070392972291	locality
15650	1.38629436111989	locality
15656	2.77258872223978	locality
15657	1.6094379124341	locality
15659	1.94591014905531	locality
15660	2.484906649788	locality
15664	1.6094379124341	locality
15665	2.55715074135303	locality
15666	2.10810172298541	locality
15667	0	locality
15670	2.89015032067704	locality
15671	3.28388301295842	locality
15673	1.99569572163993	locality
15694	3.21871345163928	locality
15720	1.94591014905531	locality
15722	2.63905665192446	locality
15723	2.7080482109634	locality
15727	2.98205569369563	locality
15728	2.47836801037534	locality
15729	1.53946411528756	locality
15730	0.693147180559945	locality
15734	2.19722281884517	locality
15735	1.38629436111989	locality
15737	0.717301806029795	locality
15740	1.51354935053625	locality
15741	2.52984076322381	locality
15742	0.693147180559945	locality
15743	2.39789527279837	locality
15744	3.61091578619116	locality
15747	2.39789527279837	locality
15748	1.46143031285206	locality
15749	1.44613457506033	locality
15751	0.325571048605272	locality
15754	1.79175946922806	locality
15755	2.17992764584283	locality
15756	2.484906649788	locality
15757	2.99573227355399	locality
15758	2.01991819499687	locality
15761	3.33103546090641	locality
15762	2.99187335458218	locality
15763	1.38629436111989	locality
15764	2.70805020110221	locality
15768	2.484906649788	locality
15772	1.79175946922806	locality
15775	1.00653455456433	locality
15776	0.472377995408533	locality
15777	1.32774663678742	locality
15778	3.6357823043291	locality
15779	1.20954515086705	locality
15783	1.79175946922806	locality
15784	2.39789527279837	locality
15785	2.19722457733622	locality
15789	0.693147180559945	locality
15790	2.9440637397369	locality
15791	2.19722281295457	locality
15792	3.25809653802148	locality
15793	1.94591014905531	locality
15795	2.19722457733622	locality
15797	0.693147180559945	locality
15799	2.94375077490198	locality
15800	2.19722457733622	locality
15803	3.84179784182639	locality
15806	2.75272988096347	locality
15807	3.4965050340452	locality
15810	2.39789527279837	locality
15811	2.0689770429667	locality
15812	1.6094379124341	locality
15813	1.17487953262205	locality
15814	3.36702801696704	locality
15819	2.484906649788	locality
15821	1.6094379124341	locality
15824	2.19722457733622	locality
15825	3.53988236708579	locality
15827	2.07944154167984	locality
15828	0	locality
15831	3.16944875217664	locality
15832	2.07865583500859	locality
15833	1.09861228866811	locality
15835	2.52918475461473	locality
15838	1.09764341643533	locality
15839	2.77258872223978	locality
15842	2.484906649788	locality
15843	2.484906649788	locality
15846	3.54058608636316	locality
15848	3.17805383034795	locality
15849	3.20033921679389	locality
15852	3.31971167328001	locality
15853	3.13549421592915	locality
15854	2.36502025285801	locality
15855	2.39789527279837	locality
15859	3.29583686600433	locality
15860	3.04452243772342	locality
15861	3.73766735131083	locality
15862	2.30258509299405	locality
15863	2.274008856745	locality
15866	2.56494935746154	locality
15868	3.33121418886793	locality
15869	2.39789527279837	locality
15875	2.63905732961526	locality
