artistname,decade
Pink_Floyd,1960
Pink_Floyd,1970
Pink_Floyd,1980
Pink_Floyd,1990
Pink_Floyd,2e3
Pink_Floyd,2010
Tom_Petty,1980
Tom_Petty,1990
Tom_Petty,2e3
Tom_Petty,2010
U2,1970
U2,1980
U2,1990
U2,2e3
U2,2010
Sheryl_Crow,1990
Sheryl_Crow,2e3
Sheryl_Crow,2010
Hans_Zimmer,1980
Hans_Zimmer,1990
Hans_Zimmer,2e3
Hans_Zimmer,2010
Danny_Elfman,1980
Danny_Elfman,1990
Danny_Elfman,2e3
Danny_Elfman,2010
Lauryn_Hill,1990
Lauryn_Hill,2e3
Lauryn_Hill,2010
Snap!,1990
Snap!,2e3
Toni_Braxton,1990
Toni_Braxton,2e3
Toni_Braxton,2010
Carly_Simon,1970
Carly_Simon,1980
Carly_Simon,1990
Carly_Simon,2e3
Carly_Simon,2010
Cyndi_Lauper,1980
Cyndi_Lauper,1990
Cyndi_Lauper,2e3
Cyndi_Lauper,2010
Dire_Straits,1970
Dire_Straits,1980
Dire_Straits,1990
Dire_Straits,2e3
Dire_Straits,2010
Edgar_Winter,1970
Edgar_Winter,1980
Edgar_Winter,1990
Edgar_Winter,2e3
The_Chemical_Brothers,1990
The_Chemical_Brothers,2e3
The_Chemical_Brothers,2010
Pixies,1980
Pixies,1990
Pixies,2e3
Pixies,2010
Limp_Bizkit,1990
Limp_Bizkit,2e3
Limp_Bizkit,2010
Def_Leppard,1970
Def_Leppard,1980
Def_Leppard,1990
Def_Leppard,2e3
Def_Leppard,2010
Propellerheads,1990
Propellerheads,2e3
ATB,1990
ATB,2e3
ATB,2010
Eiffel_65,1990
Eiffel_65,2e3
Soul_Coughing,1990
Soul_Coughing,2e3
Chris_Cornell,1990
Chris_Cornell,2e3
Chris_Cornell,2010
Bruce_Cockburn,1970
Bruce_Cockburn,1980
Bruce_Cockburn,1990
Bruce_Cockburn,2e3
Bruce_Cockburn,2010
Fleetwood_Mac,1960
Fleetwood_Mac,1970
Fleetwood_Mac,1980
Fleetwood_Mac,1990
Fleetwood_Mac,2e3
Fleetwood_Mac,2010
Kirsty_MacColl,1980
Kirsty_MacColl,1990
Kirsty_MacColl,2e3
Kirsty_MacColl,2010
The_Beatles,1960
The_Beatles,1970
The_Beatles,1980
The_Beatles,1990
The_Beatles,2e3
The_Beatles,2010
Blind_Melon,1990
Blind_Melon,2e3
Blind_Melon,2010
Modern_Talking,1980
Modern_Talking,1990
Modern_Talking,2e3
Modern_Talking,2010
Bryan_Ferry,1970
Bryan_Ferry,1980
Bryan_Ferry,1990
Bryan_Ferry,2e3
Bryan_Ferry,2010
Chet_Atkins,1950
Chet_Atkins,1960
Chet_Atkins,1970
Chet_Atkins,1980
Chet_Atkins,1990
Chet_Atkins,2e3
Chet_Atkins,2010
Chris_Isaak,1980
Chris_Isaak,1990
Chris_Isaak,2e3
Chris_Isaak,2010
Daniel_Lanois,1980
Daniel_Lanois,1990
Daniel_Lanois,2e3
Daniel_Lanois,2010
Depeche_Mode,1980
Depeche_Mode,1990
Depeche_Mode,2e3
Depeche_Mode,2010
Erasure,1980
Erasure,1990
Erasure,2e3
Erasure,2010
Iris_DeMent,1990
Iris_DeMent,2e3
Iris_DeMent,2010
Oingo_Boingo,1970
Oingo_Boingo,1980
Oingo_Boingo,1990
Oingo_Boingo,2e3
Oingo_Boingo,2010
Peter_Cetera,1980
Peter_Cetera,1990
Peter_Cetera,2e3
Ricky_Martin,1980
Ricky_Martin,1990
Ricky_Martin,2e3
Ricky_Martin,2010
Acker_Bilk,1960
Acker_Bilk,1970
Acker_Bilk,1980
Acker_Bilk,1990
Acker_Bilk,2e3
Acker_Bilk,2010
Rosemary_Clooney,1950
Rosemary_Clooney,1960
Rosemary_Clooney,1970
Rosemary_Clooney,1980
Rosemary_Clooney,1990
Rosemary_Clooney,2e3
Rosemary_Clooney,2010
The_Ventures,1960
The_Ventures,1970
The_Ventures,1980
The_Ventures,1990
The_Ventures,2e3
The_Ventures,2010
Violent_Femmes,1980
Violent_Femmes,1990
Violent_Femmes,2e3
Violent_Femmes,2010
Edwin_McCain,1990
Edwin_McCain,2e3
Edwin_McCain,2010
Nine_Inch_Nails,1980
Nine_Inch_Nails,1990
Nine_Inch_Nails,2e3
Nine_Inch_Nails,2010
Whitesnake,1970
Whitesnake,1980
Whitesnake,1990
Whitesnake,2e3
Whitesnake,2010
Korn,1990
Korn,2e3
Korn,2010
Biz_Markie,1980
Biz_Markie,1990
Biz_Markie,2e3
Biz_Markie,2010
House_of_Pain,1990
House_of_Pain,2e3
Aaliyah,1990
Aaliyah,2e3
Aaliyah,2010
Moby,1990
Moby,2e3
Moby,2010
Brian_Setzer,1980
Brian_Setzer,1990
Brian_Setzer,2e3
Brian_Setzer,2010
Faith_Hill,1990
Faith_Hill,2e3
Faith_Hill,2010
Smash_Mouth,1990
Smash_Mouth,2e3
Smash_Mouth,2010
Lenny_Kravitz,1980
Lenny_Kravitz,1990
Lenny_Kravitz,2e3
Lenny_Kravitz,2010
Vengaboys,1990
Vengaboys,2e3
Vengaboys,2010
The_Offspring,1980
The_Offspring,1990
The_Offspring,2e3
The_Offspring,2010
Powerman_5000,1990
Powerman_5000,2e3
Powerman_5000,2010
Sugar_Ray,1990
Sugar_Ray,2e3
Dr._Dre,1990
Dr._Dre,2e3
Dr._Dre,2010
Glen_Campbell,1950
Glen_Campbell,1960
Glen_Campbell,1970
Glen_Campbell,1980
Glen_Campbell,1990
Glen_Campbell,2e3
Glen_Campbell,2010
Deftones,1990
Deftones,2e3
Deftones,2010
Rage_Against_the_Machine,1990
Rage_Against_the_Machine,2e3
Rage_Against_the_Machine,2010
Atari_Teenage_Riot,1990
Atari_Teenage_Riot,2e3
Atari_Teenage_Riot,2010
Aphex_Twin,1990
Aphex_Twin,2e3
Aphex_Twin,2010
Chumbawamba,1980
Chumbawamba,1990
Chumbawamba,2e3
Chumbawamba,2010
Blue_Rodeo,1980
Blue_Rodeo,1990
Blue_Rodeo,2e3
Blue_Rodeo,2010
Johnny_Cash,1950
Johnny_Cash,1960
Johnny_Cash,1970
Johnny_Cash,1980
Johnny_Cash,1990
Johnny_Cash,2e3
Johnny_Cash,2010
Led_Zeppelin,1960
Led_Zeppelin,1970
Led_Zeppelin,1980
Led_Zeppelin,1990
Led_Zeppelin,2e3
Led_Zeppelin,2010
Mudhoney,1980
Mudhoney,1990
Mudhoney,2e3
Mudhoney,2010
The_Tea_Party,1990
The_Tea_Party,2e3
The_Tea_Party,2010
Veruca_Salt,1990
Veruca_Salt,2e3
Veruca_Salt,2010
Papa_Roach,1990
Papa_Roach,2e3
Papa_Roach,2010
Binary_Finary,1990
Binary_Finary,2e3
Binary_Finary,2010
Antiloop,1990
Antiloop,2e3
Macy_Gray,1990
Macy_Gray,2e3
Macy_Gray,2010
Kraftwerk,1970
Kraftwerk,1980
Kraftwerk,1990
Kraftwerk,2e3
Kraftwerk,2010
Leftfield,1990
Leftfield,2e3
Leftfield,2010
Primal_Scream,1980
Primal_Scream,1990
Primal_Scream,2e3
Primal_Scream,2010
Paul_van_Dyk,1990
Paul_van_Dyk,2e3
Paul_van_Dyk,2010
Gordon_Lightfoot,1960
Gordon_Lightfoot,1970
Gordon_Lightfoot,1980
Gordon_Lightfoot,1990
Gordon_Lightfoot,2e3
Gordon_Lightfoot,2010
The_Kinks,1960
The_Kinks,1970
The_Kinks,1980
The_Kinks,1990
The_Kinks,2e3
The_Kinks,2010
Godsmack,1990
Godsmack,2e3
Godsmack,2010
Bebel_Gilberto,1980
Bebel_Gilberto,1990
Bebel_Gilberto,2e3
Bebel_Gilberto,2010
Andrea_Bocelli,1990
Andrea_Bocelli,2e3
Andrea_Bocelli,2010
Ray_Lynch,1980
Ray_Lynch,1990
Weezer,1990
Weezer,2e3
Weezer,2010
Fenix_TX,1990
Fenix_TX,2e3
Fenix_TX,2010
Lonestar,1990
Lonestar,2e3
Lonestar,2010
Method_Man_&_Redman,1990
Method_Man_&_Redman,2e3
No_Doubt,1990
No_Doubt,2e3
No_Doubt,2010
Ginuwine,1990
Ginuwine,2e3
Ginuwine,2010
Third_Eye_Blind,1990
Third_Eye_Blind,2e3
Third_Eye_Blind,2010
Aerosmith,1970
Aerosmith,1980
Aerosmith,1990
Aerosmith,2e3
Aerosmith,2010
Alice_in_Chains,1980
Alice_in_Chains,1990
Alice_in_Chains,2e3
Alice_in_Chains,2010
Backstreet_Boys,1990
Backstreet_Boys,2e3
Backstreet_Boys,2010
Ben_E._King,1960
Ben_E._King,1970
Ben_E._King,1980
Ben_E._King,1990
Ben_E._King,2e3
Ben_E._King,2010
Blues_Traveler,1990
Blues_Traveler,2e3
Blues_Traveler,2010
Buck-O-Nine,1990
Buck-O-Nine,2e3
Busta_Rhymes,1990
Busta_Rhymes,2e3
Busta_Rhymes,2010
Coolio,1990
Coolio,2e3
Coolio,2010
Crazy_Town,1990
Crazy_Town,2e3
Crazy_Town,2010
Daft_Punk,1990
Daft_Punk,2e3
Daft_Punk,2010
Dave_Matthews_Band,1980
Dave_Matthews_Band,1990
Dave_Matthews_Band,2e3
Dave_Matthews_Band,2010
Dropkick_Murphys,1990
Dropkick_Murphys,2e3
Dropkick_Murphys,2010
Goo_Goo_Dolls,1980
Goo_Goo_Dolls,1990
Goo_Goo_Dolls,2e3
Goo_Goo_Dolls,2010
Green_Day,1980
Green_Day,1990
Green_Day,2e3
Green_Day,2010
Ja_Rule,1990
Ja_Rule,2e3
Ja_Rule,2010
Kurupt,1990
Kurupt,2e3
Kurupt,2010
Mest,1990
Mest,2e3
Mest,2010
MxPx,1990
MxPx,2e3
MxPx,2010
Natalie_Imbruglia,1990
Natalie_Imbruglia,2e3
Natalie_Imbruglia,2010
Reel_Big_Fish,1990
Reel_Big_Fish,2e3
Reel_Big_Fish,2010
Rob_Zombie,1990
Rob_Zombie,2e3
Rob_Zombie,2010
Stone_Temple_Pilots,1990
Stone_Temple_Pilots,2e3
Stone_Temple_Pilots,2010
UB40,1980
UB40,1990
UB40,2e3
UB40,2010
Warren_G,1990
Warren_G,2e3
Warren_G,2010
Xzibit,1990
Xzibit,2e3
Xzibit,2010
Michael_Hedges,1980
Michael_Hedges,1990
Michael_Hedges,2e3
Michael_Hedges,2010
Whigfield,1990
Whigfield,2e3
Whigfield,2010
Fragma,1990
Fragma,2e3
La_Oreja_de_Van_Gogh,1990
La_Oreja_de_Van_Gogh,2e3
La_Oreja_de_Van_Gogh,2010
Nightnoise,1980
Nightnoise,1990
Technotronic,1980
Technotronic,1990
Technotronic,2e3
Technotronic,2010
Moloko,1990
Moloko,2e3
Moloko,2010
Afrika_Bambaataa,1980
Afrika_Bambaataa,1990
Afrika_Bambaataa,2e3
The_Romantics,1980
The_Romantics,1990
The_Romantics,2e3
The_Romantics,2010
2_Unlimited,1990
2_Unlimited,2e3
Double_You,1990
Double_You,2e3
La_Bouche,1990
La_Bouche,2e3
Milk_Inc.,1990
Milk_Inc.,2e3
Milk_Inc.,2010
DJ_Quicksilver,1990
DJ_Quicksilver,2e3
Paul_Hardcastle,1980
Paul_Hardcastle,1990
Paul_Hardcastle,2e3
Paul_Hardcastle,2010
Bad_Religion,1980
Bad_Religion,1990
Bad_Religion,2e3
Bad_Religion,2010
Van_Halen,1970
Van_Halen,1980
Van_Halen,1990
Van_Halen,2e3
Van_Halen,2010
Lou_Bega,1990
Lou_Bega,2e3
Lou_Bega,2010
Donna_Summer,1970
Donna_Summer,1980
Donna_Summer,1990
Donna_Summer,2e3
Donna_Summer,2010
Cornershop,1990
Cornershop,2e3
Cornershop,2010
M_People,1990
M_People,2e3
Spandau_Ballet,1980
Spandau_Ballet,1990
Spandau_Ballet,2e3
Spandau_Ballet,2010
Simply_Red,1980
Simply_Red,1990
Simply_Red,2e3
Simply_Red,2010
Take_That,1990
Take_That,2e3
Take_That,2010
Eros_Ramazzotti,1980
Eros_Ramazzotti,1990
Eros_Ramazzotti,2e3
Eros_Ramazzotti,2010
Bruce_Springsteen,1970
Bruce_Springsteen,1980
Bruce_Springsteen,1990
Bruce_Springsteen,2e3
Bruce_Springsteen,2010
Jarabe_de_Palo,1990
Jarabe_de_Palo,2e3
Jarabe_de_Palo,2010
John_Lennon,1970
John_Lennon,1980
John_Lennon,1990
John_Lennon,2e3
John_Lennon,2010
Lighthouse_Family,1990
Lighthouse_Family,2e3
Mike_Oldfield,1970
Mike_Oldfield,1980
Mike_Oldfield,1990
Mike_Oldfield,2e3
Mike_Oldfield,2010
Eric_Carmen,1970
Eric_Carmen,1980
Eric_Carmen,1990
Manfred_Mann,1960
Manfred_Mann,1970
Manfred_Mann,1980
Manfred_Mann,1990
Manfred_Mann,2e3
Manfred_Mann,2010
The_Police,1970
The_Police,1980
The_Police,1990
The_Police,2e3
The_Police,2010
Lynyrd_Skynyrd,1970
Lynyrd_Skynyrd,1980
Lynyrd_Skynyrd,1990
Lynyrd_Skynyrd,2e3
Lynyrd_Skynyrd,2010
The_Rolling_Stones,1960
The_Rolling_Stones,1970
The_Rolling_Stones,1980
The_Rolling_Stones,1990
The_Rolling_Stones,2e3
The_Rolling_Stones,2010
Village_People,1970
Village_People,1980
Village_People,1990
Village_People,2e3
Village_People,2010
The_Proclaimers,1980
The_Proclaimers,1990
The_Proclaimers,2e3
The_Proclaimers,2010
Republica,1990
Republica,2e3
Republica,2010
Meredith_Brooks,1990
Meredith_Brooks,2e3
The_Cardigans,1990
The_Cardigans,2e3
The_Corrs,1990
The_Corrs,2e3
The_Corrs,2010
New_Order,1980
New_Order,1990
New_Order,2e3
New_Order,2010
Deutsch_Amerikanische_Freundschaft,1970
Deutsch_Amerikanische_Freundschaft,1980
Deutsch_Amerikanische_Freundschaft,1990
Deutsch_Amerikanische_Freundschaft,2e3
Deutsch_Amerikanische_Freundschaft,2010
Da_Hool,1990
Da_Hool,2e3
Faithless,1990
Faithless,2e3
Faithless,2010
ABBA,1970
ABBA,1980
ABBA,1990
ABBA,2e3
ABBA,2010
Groove_Armada,1990
Groove_Armada,2e3
Groove_Armada,2010
Imperial_Teen,1990
Imperial_Teen,2e3
Imperial_Teen,2010
Juno_Reactor,1990
Juno_Reactor,2e3
Juno_Reactor,2010
The_Crystal_Method,1990
The_Crystal_Method,2e3
The_Crystal_Method,2010
The_Future_Sound_of_London,1990
The_Future_Sound_of_London,2e3
The_Future_Sound_of_London,2010
Van_Morrison,1960
Van_Morrison,1970
Van_Morrison,1980
Van_Morrison,1990
Van_Morrison,2e3
Van_Morrison,2010
The_Cure,1970
The_Cure,1980
The_Cure,1990
The_Cure,2e3
The_Cure,2010
Sixpence_None_the_Richer,1990
Sixpence_None_the_Richer,2e3
Sixpence_None_the_Richer,2010
Lunatic_Calm,1990
Lunatic_Calm,2e3
Monster_Magnet,1980
Monster_Magnet,1990
Monster_Magnet,2e3
Monster_Magnet,2010
Ben_Folds_Five,1990
Ben_Folds_Five,2e3
Ben_Folds_Five,2010
Sneaker_Pimps,1990
Sneaker_Pimps,2e3
Eric_Clapton,1970
Eric_Clapton,1980
Eric_Clapton,1990
Eric_Clapton,2e3
Eric_Clapton,2010
Eminem,1990
Eminem,2e3
Eminem,2010
The_Guess_Who,1960
The_Guess_Who,1970
The_Guess_Who,1980
The_Guess_Who,1990
The_Guess_Who,2e3
The_Guess_Who,2010
Counting_Crows,1990
Counting_Crows,2e3
Counting_Crows,2010
Fugees,1990
Fugees,2e3
Fugees,2010
Geto_Boys,1980
Geto_Boys,1990
Geto_Boys,2e3
Geto_Boys,2010
Marvin_Gaye,1960
Marvin_Gaye,1970
Marvin_Gaye,1980
Marvin_Gaye,1990
Marvin_Gaye,2e3
Marvin_Gaye,2010
Morcheeba,1990
Morcheeba,2e3
Morcheeba,2010
Neil_Young,1960
Neil_Young,1970
Neil_Young,1980
Neil_Young,1990
Neil_Young,2e3
Neil_Young,2010
The_Black_Crowes,1990
The_Black_Crowes,2e3
The_Black_Crowes,2010
Jefferson_Airplane,1960
Jefferson_Airplane,1970
Jefferson_Airplane,1980
Jefferson_Airplane,1990
Jefferson_Airplane,2e3
Jefferson_Airplane,2010
Mr._Oizo,1990
Mr._Oizo,2e3
Mr._Oizo,2010
Shania_Twain,1990
Shania_Twain,2e3
Shania_Twain,2010
Dean_Martin,1940
Dean_Martin,1950
Dean_Martin,1960
Dean_Martin,1970
Dean_Martin,1980
Dean_Martin,1990
Dean_Martin,2e3
Dean_Martin,2010
Loreena_McKennitt,1980
Loreena_McKennitt,1990
Loreena_McKennitt,2e3
Loreena_McKennitt,2010
The_Jayhawks,1980
The_Jayhawks,1990
The_Jayhawks,2e3
The_Jayhawks,2010
Butthole_Surfers,1980
Butthole_Surfers,1990
Butthole_Surfers,2e3
Butthole_Surfers,2010
Billy_Idol,1980
Billy_Idol,1990
Billy_Idol,2e3
Billy_Idol,2010
Lords_of_Acid,1980
Lords_of_Acid,1990
Lords_of_Acid,2e3
Lords_of_Acid,2010
Asian_Dub_Foundation,1990
Asian_Dub_Foundation,2e3
Asian_Dub_Foundation,2010
Big_Bad_Voodoo_Daddy,1990
Big_Bad_Voodoo_Daddy,2e3
Big_Bad_Voodoo_Daddy,2010
Bee_Gees,1960
Bee_Gees,1970
Bee_Gees,1980
Bee_Gees,1990
Bee_Gees,2e3
Bee_Gees,2010
Dead_Can_Dance,1980
Dead_Can_Dance,1990
Dead_Can_Dance,2e3
Dead_Can_Dance,2010
Gravity_Kills,1990
Gravity_Kills,2e3
Haddaway,1990
Haddaway,2e3
Haddaway,2010
Don_Henley,1980
Don_Henley,1990
Don_Henley,2e3
Don_Henley,2010
Jamiroquai,1990
Jamiroquai,2e3
Jamiroquai,2010
The_Mighty_Mighty_Bosstones,1980
The_Mighty_Mighty_Bosstones,1990
The_Mighty_Mighty_Bosstones,2e3
The_Mighty_Mighty_Bosstones,2010
Wyclef_Jean,1990
Wyclef_Jean,2e3
Wyclef_Jean,2010
Faith_No_More,1980
Faith_No_More,1990
Faith_No_More,2e3
Faith_No_More,2010
Fear_Factory,1990
Fear_Factory,2e3
Fear_Factory,2010
The_Folk_Implosion,1990
The_Folk_Implosion,2e3
KMFDM,1980
KMFDM,1990
KMFDM,2e3
KMFDM,2010
Sevendust,1990
Sevendust,2e3
Sevendust,2010
Stabbing_Westward,1990
Stabbing_Westward,2e3
Stabbing_Westward,2010
Staind,1990
Staind,2e3
Staind,2010
Sunny_Day_Real_Estate,1990
Sunny_Day_Real_Estate,2e3
Sunny_Day_Real_Estate,2010
Type_O_Negative,1990
Type_O_Negative,2e3
Type_O_Negative,2010
Cowboy_Junkies,1980
Cowboy_Junkies,1990
Cowboy_Junkies,2e3
Cowboy_Junkies,2010
Hooverphonic,1990
Hooverphonic,2e3
Hooverphonic,2010
Björk,1990
Björk,2e3
Björk,2010
Eat_Static,1990
Eat_Static,2e3
Eat_Static,2010
Fiona_Apple,1990
Fiona_Apple,2e3
Fiona_Apple,2010
Nusrat_Fateh_Ali_Khan,1980
Nusrat_Fateh_Ali_Khan,1990
Nusrat_Fateh_Ali_Khan,2e3
Nusrat_Fateh_Ali_Khan,2010
Talking_Heads,1970
Talking_Heads,1980
Talking_Heads,1990
Talking_Heads,2e3
Talking_Heads,2010
The_Tubes,1970
The_Tubes,1980
The_Tubes,1990
The_Tubes,2e3
The_Tubes,2010
Soulive,2e3
Soulive,2010
LeAnn_Rimes,1990
LeAnn_Rimes,2e3
LeAnn_Rimes,2010
William_Orbit,1980
William_Orbit,1990
William_Orbit,2e3
William_Orbit,2010
Basement_Jaxx,1990
Basement_Jaxx,2e3
Basement_Jaxx,2010
Erick_Morillo,1990
Erick_Morillo,2e3
Jonathan_Richman,1980
Jonathan_Richman,1990
Jonathan_Richman,2e3
Jonathan_Richman,2010
Free_Kitten,1990
Free_Kitten,2e3
Manu_Chao,1990
Manu_Chao,2e3
Manu_Chao,2010
Barenaked_Ladies,1980
Barenaked_Ladies,1990
Barenaked_Ladies,2e3
Barenaked_Ladies,2010
Jackson_Browne,1970
Jackson_Browne,1980
Jackson_Browne,1990
Jackson_Browne,2e3
Jackson_Browne,2010
Better_Than_Ezra,1980
Better_Than_Ezra,1990
Better_Than_Ezra,2e3
Better_Than_Ezra,2010
Collective_Soul,1990
Collective_Soul,2e3
Collective_Soul,2010
Elastica,1990
Elastica,2e3
Fountains_of_Wayne,1990
Fountains_of_Wayne,2e3
Fountains_of_Wayne,2010
Heather_Nova,1990
Heather_Nova,2e3
Heather_Nova,2010
The_Brian_Setzer_Orchestra,1990
The_Brian_Setzer_Orchestra,2e3
The_Brian_Setzer_Orchestra,2010
Juliana_Hatfield,1990
Juliana_Hatfield,2e3
Juliana_Hatfield,2010
Liz_Phair,1990
Liz_Phair,2e3
Liz_Phair,2010
Luscious_Jackson,1990
Luscious_Jackson,2e3
Luscious_Jackson,2010
Megadeth,1980
Megadeth,1990
Megadeth,2e3
Megadeth,2010
Pizzicato_Five,1980
Pizzicato_Five,1990
Pizzicato_Five,2e3
Quasi,1990
Quasi,2e3
Quasi,2010
Robyn_Hitchcock,1980
Robyn_Hitchcock,1990
Robyn_Hitchcock,2e3
Robyn_Hitchcock,2010
Soundgarden,1980
Soundgarden,1990
Soundgarden,2e3
Soundgarden,2010
The_Flaming_Lips,1980
The_Flaming_Lips,1990
The_Flaming_Lips,2e3
The_Flaming_Lips,2010
Kenny_Rogers,1970
Kenny_Rogers,1980
Kenny_Rogers,1990
