ShiftBand	Entropy	ILDPD	ShiftBand01
0.47515469034679	0.436004747727209	0.389156232682461	0.534854554471947
0.454872149579815	0.42759177760811	0.413253790744407	0.452371524383634
0.487092116843687	0.484276569678871	0.406323820874432	0.503107567017947
0.434960489562585	0.552844123244267	0.388567289213471	0.435409403210704
0.409127834821911	0.582002452418519	0.327465426737774	0.424040494357137
0.474972990353067	0.528414966515755	0.420575470463868	0.45994535624024
0.474415923929998	0.455505624596055	0.468916174790649	0.510805395359477
0.442284577359595	0.468525434690875	0.400599753067437	0.461675482285279
0.45883757946961	0.505118433723511	0.327336014825944	0.447900206279669
0.492428856011039	0.486465827836484	0.442614310582865	0.540138995585858
0.415694327339674	0.642118516592766	0.275772454441405	0.428594897826958
0.486872634807454	0.313942606059415	0.276604414517076	0.546787999021865
0.501258134046721	0.572913094656268	0.382561904155048	0.439270861086345
0.502277665469053	0.418513335532447	0.41304978922617	0.497155559410565
0.407031076052794	0.38853150784771	0.274042335677818	0.391153484561015
0.457029751385628	0.5081854588206	0.407370390929565	0.47272129612213
0.494407098622509	0.424988010476738	0.277562794142657	0.396947802874387
0.457628223112962	0.472808109409045	0.352617056087633	0.439686256329785
0.48378943871186	0.438684151848655	0.453801452489956	0.481574895186056
0.539949596934829	0.53737880288001	0.380338146683855	0.47597029143702
0.427041039330459	0.504596913715515	0.320655834843021	0.404762434957427
0.438167510681351	0.44927257838177	0.31873302471404	0.447346974994981
0.420450002897669	0.505489379948715	0.363702725797741	0.477123009237134
0.450084675443983	0.3190144162137	0.366335113346966	0.531157664560072
0.463616727488323	0.473859235689998	0.249006548037629	0.489645146699996
0.455825062168382	0.417275304632673	0.424098902914716	0.509614715790901
0.460691004219667	0.548710681958877	0.266587913482484	0.416723073368054
0.456628415313219	0.489114718083534	0.317293549823133	0.424506976174906
0.50015650003922	0.478472953099562	0.455723373472886	0.45197960666284
0.571344745976903	0.465177767458564	0.32897611144588	0.456067862334736
0.452145749861185	0.420053946501467	0.39888321598465	0.444461499415046
0.453470358815662	0.557770881338051	0.231952392694881	0.555707264012569
0.46233821208076	0.480273920762321	0.448575498344914	0.509178905010978
0.415280619935064	0.45994932076663	0.336535914548922	0.453571480010459
0.50276552031329	0.47437877188745	0.326611873244462	0.454219726561161
0.481569551490509	0.435599808091797	0.396289066974184	0.484533593701956
0.449398153738055	0.50365369474039	0.323458089494677	0.463460457812612
0.481139339330759	0.535901142629053	0.378622580948319	0.49455046296372
0.554584019766877	0.562620108556688	0.392386674553691	0.390625650772834
0.486771989562969	0.508318799563426	0.436598372925918	0.50324836355522
0.525380012380222	0.379298451720682	0.337989783278371	0.472189945087737
0.445459191479693	0.631726397609641	0.221981603332844	0.413944283038765
0.473892139328043	0.442647586551088	0.390480041120751	0.490327897301621
0.435444848331199	0.397213302851076	0.353338730673688	0.43089074531797
0.47184194953566	0.444639879220428	0.35433013872685	0.439134354341893
0.419151006575942	0.45243636092861	0.369197403780929	0.50022111086
0.452681965134483	0.547353262560716	0.34416205426866	0.470364303250221
0.466663274186785	0.554894180848301	0.300413755640783	0.473091438740793
0.458395484447033	0.471958081554595	0.315014695273234	0.433432760420291
0.474847022377562	0.494529795150847	0.398434468347196	0.48109995216983
0.429804567188708	0.61055143906012	0.263083555651818	0.416403180630171
0.464551337458967	0.582843202256385	0.299186547612381	0.455653797662678
0.454096962705631	0.46902983867406	0.385215571842057	0.472445345772125
