ShiftBand7	ShiftBand14	ILDPD7	ILDPD14
0.456366287068847	0.45090705961659	0.387991136002995	0.369296763267998
0.456002062710912	0.462883240894187	0.400348615796842	0.399760221516518
0.496627093379791	0.501173216133825	0.412596192924292	0.42428356972288
0.559332052591608	0.536155466249469	0.399385538025928	0.385395430970466
0.591228389924848	0.598114126584915	0.322278314479365	0.328394617584938
0.523393631164768	0.525304883998074	0.427758733138738	0.422537594223492
0.451015108437792	0.49004913127068	0.46056391689221	0.47091075844395
0.466180280759531	0.461524590834117	0.415244594467818	0.43137065827782
0.524348699031941	0.544764008793567	0.339070292982281	0.357469233195678
0.50659454681691	0.510092231640648	0.463879803929891	0.456677460204026
0.630052325726706	0.640782329883798	0.269995154706213	0.271559269229556
0.358143131144412	0.395366259929955	0.297939196316728	0.317585516484109
0.558535761096358	0.573829407774981	0.388397649936314	0.375993458783731
0.415344076387818	0.420673688557642	0.382832559216418	0.38316999208831
0.431400523838104	0.463885637855399	0.24052190272518	0.218147100922177
0.522630654424577	0.535747225990125	0.435544254499969	0.432458344702007
0.427105642595345	0.39521517555744	0.257309969111305	0.257143448660761
0.473822084629937	0.46909899744175	0.365709976823273	0.344362673107789
0.471952682265374	0.476656998507756	0.525433753053829	0.516304415037772
0.535507195729229	0.528308919061639	0.3756063563873	0.395528305618721
0.484448566162839	0.48345749059521	0.314533434647559	0.304775850962679
0.462623818120478	0.463802767598533	0.315394745592765	0.31910106266521
0.511952680392351	0.493452947168756	0.336817966807168	0.346710830074791
0.388773167078365	0.415882516469955	0.283408651275783	0.298876630343622
0.508625294905757	0.524495782531741	0.281999439929852	0.289225718060736
0.43683816156835	0.416549735567638	0.456183651463823	0.445163682459047
0.558526486631585	0.532468400457623	0.276370653795218	0.268887853948954
0.442078505794983	0.474843829139976	0.306537046253395	0.325222992798564
0.488477666836056	0.488067106877762	0.429816269547524	0.44406453685798
0.495760162021548	0.532160297467301	0.33605041731798	0.317299544320927
0.459643179152317	0.433812353097339	0.446573154097392	0.453832437508337
0.522096419626603	0.479616751402605	0.295880104043798	0.325695353921117
0.488019935776845	0.478701103526299	0.470051805976639	0.46097377483779
0.465195062686657	0.461203834812244	0.345538976733472	0.369527233735474
0.446811323758817	0.457963276461195	0.347581176004635	0.352543532125742
0.424228408589632	0.428085457886091	0.387565079942647	0.398412250560033
0.481173181923502	0.480473789748326	0.355932141454007	0.333146141555425
0.533434577660468	0.548980514105444	0.382480207194981	0.374898622292625
0.542108333011035	0.53368765779287	0.405614684422106	0.433170092749393
0.508442172030287	0.527421484164609	0.425365102540101	0.418131409162469
0.378160207397161	0.347796785451777	0.351110741693044	0.371762183933567
0.640106963952391	0.646788574742945	0.224125448423768	0.24496515584155
0.475327745586729	0.496503615310994	0.409107469148302	0.43870437395097
0.417669568443925	0.419158997725462	0.36474693992642	0.363718320526563
0.44720774667383	0.458965016178878	0.366498064974599	0.348074322010539
0.398992334244526	0.393188230363204	0.393704777563057	0.38681581938838
0.566367220163148	0.572646430298376	0.359997597491119	0.37633933985916
0.535318775903463	0.528683599550958	0.297928826584557	0.315406241383613
0.52633855258932	0.523351785235288	0.338956665078089	0.349221098953148
0.506940696745278	0.512912418076568	0.40921759444116	0.406610346846092
0.604848131317879	0.589959683122341	0.252255307325908	0.257859498412483
0.600872118738909	0.592130146873299	0.320137334044392	0.342438229145581
0.453035514656166	0.489314668846803	0.39015741854327	0.379337175345219
0.541612257714919	0.561227404248905	0.427633964787037	0.430801301947355
0.437555854658931	0.45048937764746	0.357221500004719	0.361224788169117
0.550052373081615	0.570432019732764	0.242080291243066	0.242341758798585
0.418785540835193	0.463922658444107	0.435331139040465	0.466636717722466
0.564482850526929	0.58716237150167	0.254568064431052	0.248569643333186
0.490990331430153	0.484560534839013	0.327484923373586	0.33884652642062
0.63936027741095	0.672636958444049	0.310339733399198	0.297117070152088
0.519228873203614	0.533625420220339	0.373278624743696	0.369464566407562
0.421829907437466	0.434336245531903	0.458628036386918	0.460739820790814
0.568614697605606	0.565957350684609	0.37521360420813	0.386877523316077
0.500358698276745	0.511105342981379	0.261976530158798	0.257363878321978
0.342342530519201	0.328498291886953	0.36090362247187	0.338379617607165
0.4916985812525	0.510566468323263	0.293888625805038	0.298625208287395
0.539164084552393	0.540901650359055	0.362707391017653	0.352689359840102
0.478463145768129	0.506781452176024	0.336580114845411	0.35610571854956
0.488920575671319	0.50351070035869	0.297249599232291	0.285171990221441
0.42297570679091	0.415097676687873	0.308845231712127	0.303319120828704
0.368404724648772	0.377800755190719	0.374750876356053	0.391152303415557
0.416722368476172	0.419362099882279	0.408051739074229	0.432519607788276
