ShiftBand	Entropy	ILDPD	Word2vec
0.295611017545202	0.280171517883334	0.261813209749884	0.330213769731548
0.354529787996092	0.360337041482795	0.255468235783887	0.348515409515705
0.227414825171051	0.311305012598517	0.193008550671327	0.254297814966788
0.274587903008265	0.41450131475484	0.185544027436669	0.359159266924592
0.293279362400471	0.348066666994725	0.252831240911197	0.32765112980425
0.386739217947981	0.347145515181095	0.355433490574123	0.402393795572534
0.346374231993586	0.345416248216847	0.287525245813896	0.333285652944455
0.325328244692476	0.311861765238565	0.226854944457184	0.343012287178024
0.205256111967117	0.195857989529935	0.173265070841552	0.175151685394227
0.20047635191918	0.282529847615209	0.12262325624525	0.235742528870783
0.0993216772378899	0.0802768041750817	0.0510220195515417	0.0884430689466047
0.332439031997434	0.470483776379343	0.262029787599227	0.394642216718674
0.331292197119872	0.258803871431307	0.267809850620398	0.305091813202972
0.159169953593989	0.136639675684979	0.0870877686221856	0.220725524914659
0.30196424743784	0.338254802327442	0.242310811720446	0.329027220548023
0.370452498463475	0.347190121762226	0.251084304553409	0.446871710077845
0.280459597353687	0.286802302746383	0.223777366667114	0.307534311149266
0.353440610030657	0.301531310525706	0.308760068756866	0.377212091693687
0.292973371651278	0.337817243398278	0.219731981304818	0.279508650994468
0.270693308931188	0.338271961802826	0.198784200331984	0.343212161691174
0.270696130415719	0.28466456540919	0.162576006029897	0.298914406555606
0.379680901295055	0.408703554936809	0.267322215841836	0.372196256275899
0.435486598378403	0.284940246396144	0.301076310457282	0.376332950897752
0.282147969001395	0.318981321772271	0.123593367688721	0.323971058519959
0.337541019285036	0.236462052168671	0.259324066068526	0.345366230907626
0.286128272762453	0.422135860194506	0.162437526177001	0.402760990962731
0.334664037816464	0.353240741760204	0.159354548010493	0.37184988154709
0.285251771708897	0.283885537800108	0.276096789087071	0.28983955683412
0.375800703979238	0.407099850316399	0.259580546389448	0.417734998875136
0.319444444444444	0.243055555555555	0.170138888888889	0.295138962022833
0.369946259721748	0.387627118631369	0.143936960551027	0.321967680662876
0.35730668977976	0.339347428785255	0.305268949491966	0.357885566984953
0.171786834374569	0.176047829397795	0.132562039014203	0.200297560609353
