ShiftBand	ILDPD	ILD-2	ILD-5	ILD-7	ILD-15
0.350761225625695	0.139494068872626	0.0846952711372107	0.081410737743787	0.08738679460784	0.115045419945954
0.343809731267984	0.440378165482928	0.450511323916509	0.454257268762407	0.44565839393491	0.496583593619467
0.173812152598155	0.297785278521885	0.356258643827874	0.38110882654622	0.368376507310632	0.391281691381891
0.316539577524059	0.413253790744407	0.394434301223482	0.409162853361631	0.434620013978944	0.41512703437085
0.348735107900418	0.239598052276506	0.273395301408625	0.274545179647421	0.271130389379066	0.266327732371092
0.381412962746303	0.368992482300607	0.412438893352791	0.387070434442491	0.387448046827253	0.42426129271875
0.349487824314586	0.349993973372302	0.404711688630526	0.461132535926541	0.452562484621697	0.454022995153703
0.381016400324111	0.314319887719612	0.317946328326514	0.301342107818827	0.353826931788618	0.342535812577405
0.227931830051625	0.451333975741807	0.452548592344164	0.464542965793634	0.481449670307913	0.483266762370223
0.318386763666683	0.429291139099884	0.44183981046637	0.460575513662945	0.453665622016674	0.468964188989073
0.282698852915544	0.424939842579719	0.457386395816116	0.459545991254125	0.47194825908002	0.453269583548622
0.402288521687224	0.327768625865996	0.387648613257524	0.384360432922095	0.338613796552698	0.34393180499192
0.291717210440816	0.335758459179847	0.373789791060685	0.400482175637012	0.42430776998458	0.436053858947214
0.37434649647444	0.345282209426721	0.374850254150871	0.396235159058271	0.359926397568738	0.358991020647974
0.344426305402208	0.427787734853206	0.466487147901035	0.518371270045898	0.443009000314964	0.393649472694331
0.281563507329891	0.26007909318334	0.275130669706576	0.283232824598915	0.303181727296657	0.323364750586196
0.2062828214452	0.361066602099933	0.366362843427994	0.385553263493429	0.40974620873318	0.432665155930066
0.283978710835774	0.36280652056592	0.372484781988875	0.368585515019707	0.365197171333781	0.385013114739967
0.39389190488829	0.359853938066624	0.390822969799083	0.354164532306566	0.38875700959949	0.367472682114728
0.32970757537521	0.218623780970437	0.24264416938156	0.222626987263517	0.275332011124585	0.249261853084245
0.342613174184074	0.343821334573539	0.37495386823044	0.416813278842783	0.35874533327389	0.394986462513033
0.344723468721599	0.403942793255072	0.385026254071512	0.434585040708164	0.446439829643009	0.430809806065493
0.294058675962958	0.207710047687348	0.198699050119652	0.194411372116283	0.205121600118945	0.21564154977381
0.183521177120731	0.181737116415694	0.202414555132122	0.19536458040722	0.203308062033973	0.214230310069081
0.303357374259968	0.360689417016288	0.395579760044135	0.401992007025248	0.407609293614349	0.426040254659562
0.345350583676165	0.328253789142189	0.313531379904727	0.393837265024689	0.409727005726204	0.410247771462362
0.390229210338978	0.379094041691926	0.428548081606715	0.424182739020713	0.424232013112069	0.404216502434176
0.27722940016465	0.460966561615077	0.457595745062252	0.476841992582556	0.451400029111647	0.474236888059044
0.249524846130717	0.368690005520011	0.332507001347752	0.39254495415315	0.400306480594711	0.406908189409089
0.288793440144147	0.335765973120847	0.338084069604193	0.421051614567142	0.399107825967703	0.417463391066903
0.34370919033627	0.539680421906598	0.464540398636228	0.562080888791678	0.515646721878696	0.527167282419631
0.384273421229746	0.333426247148618	0.341242152850642	0.321681153741292	0.328872483131033	0.441796833387008
0.269837574896591	0.368875807936817	0.384158294597134	0.374143843283409	0.387299448218238	0.383442164243203
0.271961320545324	0.335254398591257	0.374545950537128	0.379958711290767	0.397680493239424	0.353329169948675
0.353085943456081	0.450257334564861	0.440275371895397	0.454268921649605	0.451879572360471	0.471428300514599
0.276344170078253	0.426200493907858	0.433755150620023	0.414215231807245	0.465359032709418	0.442841961383515
0.216977845453504	0.351242599681858	0.328079517253066	0.339292671448785	0.345806333057239	0.370401985341103
0.173214001070101	0.368353098947403	0.374295592757586	0.395669881011801	0.417416671066325	0.422011765450672
0.249067680179036	0.308848100321793	0.330795280275573	0.342809694972457	0.34960957470866	0.360685808685484
0.225994055437757	0.401871569285516	0.434562878723398	0.441241030331473	0.443295876062122	0.455400170056267
0.302176044660852	0.344414935915682	0.388001045153799	0.395231263307132	0.438787571431864	0.364180471834987
0.355464322665663	0.281155617355953	0.333069483855843	0.271572786929069	0.342101714123329	0.325233256310392
0.293556203454671	0.472689706016674	0.445803537803874	0.431407323923609	0.460734651731448	0.48077672912402
0.173580497728647	0.296371257415813	0.309588793586406	0.329761018484073	0.322035164075827	0.336641327735097
0.160912295827602	0.305010960996573	0.326291572252393	0.360330322900087	0.317585079678205	0.314603624660776
0.349397008842328	0.401936494319117	0.410039672683955	0.427558266978892	0.429683036080536	0.42140677058916
0.335027050994016	0.417237662006234	0.446581846769324	0.482497275492334	0.455264991716216	0.45497018252324
0.441823142904719	0.313144753334625	0.397582091051416	0.424555499593763	0.439717643144552	0.438266695197386
0.13677829250368	0.406566808057194	0.40067804490361	0.449743026003671	0.428001101729325	0.470878162692295
0.419646515235684	0.301829719321739	0.329906678079854	0.306334668707836	0.33595029916009	0.29441354207647
0.367968579831752	0.556604101246456	0.350961567753265	0.512464056697746	0.526505398974593	0.497981154769236
0.146656528836997	0.242431841303672	0.26873195908082	0.237357600377027	0.243721014790655	0.25166684687767
0.404899352496948	0.323026399370347	0.406469791495964	0.3888330579766	0.45468795665096	0.409615374871226
0.296895129290654	0.248761259659796	0.268031240307486	0.314159202688517	0.280564195074543	0.326248521486863
0.304257647009525	0.4126992575375	0.403206006830602	0.431573965152953	0.433065013339201	0.481456514449457
0.224216450631815	0.421169406207352	0.419935514087884	0.40313918681376	0.415395283845445	0.405227593816956
0.286331453895618	0.343814125408845	0.355281514262603	0.368185387541091	0.346364717222475	0.380374593033836
0.250458680134931	0.409535555347226	0.416707608112284	0.446910181595766	0.454804843447259	0.447547722677776
0.362679257227367	0.235600965246575	0.261738253628711	0.22311221476579	0.198652531881809	0.178138458482401
0.292219071528096	0.419105037990062	0.473283340738525	0.453428857813981	0.458353962773442	0.446361129503779
0.307967274774892	0.321113204092883	0.385552756675194	0.435450543638068	0.429612222530974	0.431433492542158
0.160994423251705	0.254394148046089	0.253901155044457	0.246886562640331	0.258622807276829	0.251573802530707
